#,Area,English,Bulgarian,Sources
1,Layout (header / sidebar),Absence notices,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/shared/AbsenceNoticesView.tsx
2,Layout (header / sidebar),Academic record,,src/components/layout/Sidebar.tsx; src/views/shared/GradesView.tsx
3,Layout (header / sidebar),Admin platform guide,,src/components/layout/Sidebar.tsx
4,Layout (header / sidebar),Archived,,src/components/layout/Sidebar.tsx
5,Layout (header / sidebar),Assignments and materials,,src/components/layout/Sidebar.tsx
6,Layout (header / sidebar),Attendance Groups,,src/components/layout/Sidebar.tsx
7,Layout (header / sidebar),Attendance keepers,,src/components/layout/Sidebar.tsx
8,Layout (header / sidebar),Attendance overall,,src/components/layout/Sidebar.tsx; src/views/student/MyAttendanceView.tsx
9,Layout (header / sidebar),Awaiting role assignment,,src/components/layout/Sidebar.tsx
10,Layout (header / sidebar),Check-in rules,,src/components/layout/Sidebar.tsx; src/views/admin/MentorshipHubView.tsx
11,Layout (header / sidebar),Classes and Activation,,src/components/layout/Sidebar.tsx
12,Layout (header / sidebar),Classroom,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx
13,Layout (header / sidebar),Classwork,,src/components/layout/Sidebar.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/ClassDetailView.tsx
14,Layout (header / sidebar),Close menu,,src/components/layout/Sidebar.tsx
15,Layout (header / sidebar),Collected and remaining,,src/components/layout/Sidebar.tsx
16,Layout (header / sidebar),Ctrl/Cmd K,,src/components/layout/Header.tsx
17,Layout (header / sidebar),Date View,,src/components/layout/Sidebar.tsx
18,Layout (header / sidebar),"Dates, status & views",,src/components/layout/Sidebar.tsx
19,Layout (header / sidebar),Defaults and templates,,src/components/layout/Sidebar.tsx
20,Layout (header / sidebar),Directory,,src/components/layout/Sidebar.tsx; src/views/admin/users/UsersHubView.tsx
21,Layout (header / sidebar),Due dates and amounts,,src/components/layout/Sidebar.tsx
22,Layout (header / sidebar),Emails sent to you,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/admin/InboxView.tsx
23,Layout (header / sidebar),Enrollments,,src/components/layout/Sidebar.tsx; src/views/admin/users/UsersHubView.tsx
24,Layout (header / sidebar),Fees and reminders,,src/components/layout/Sidebar.tsx
25,Layout (header / sidebar),Grades,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/admin/KnowledgeBaseView.tsx
26,Layout (header / sidebar),Graduation gates,,src/components/layout/Sidebar.tsx; src/views/admin/AdminStudentDashboard.tsx
27,Layout (header / sidebar),Graduation gates & scores,,src/components/layout/Sidebar.tsx
28,Layout (header / sidebar),Health & coverage,,src/components/layout/Sidebar.tsx
29,Layout (header / sidebar),Homework and materials,,src/components/layout/Sidebar.tsx
30,Layout (header / sidebar),Homework and reading,,src/components/layout/Sidebar.tsx
31,Layout (header / sidebar),In-person meeting expectations,,src/components/layout/Sidebar.tsx
32,Layout (header / sidebar),Inactive year groups,,src/components/layout/Sidebar.tsx
33,Layout (header / sidebar),Knowledge Base,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx
34,Layout (header / sidebar),Ministry Report,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx
35,Layout (header / sidebar),Monthly joint sessions,,src/components/layout/Sidebar.tsx
36,Layout (header / sidebar),My Attendance,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx
37,Layout (header / sidebar),My books,,src/components/layout/Sidebar.tsx
38,Layout (header / sidebar),My Sessions,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/teacher/MyClassesView.tsx
39,Layout (header / sidebar),On Duty Schedule,,src/components/layout/Sidebar.tsx; src/views/admin/AttendanceView.tsx
40,Layout (header / sidebar),Open menu,,src/components/layout/Header.tsx
41,Layout (header / sidebar),Open search,,src/components/layout/Header.tsx
42,Layout (header / sidebar),Operations,,src/components/layout/Sidebar.tsx
43,Layout (header / sidebar),Payment follow-up,,src/components/layout/Sidebar.tsx
44,Layout (header / sidebar),Payment status,,src/components/layout/Sidebar.tsx
45,Layout (header / sidebar),Payments,,src/components/layout/Sidebar.tsx
46,Layout (header / sidebar),Prayer Schedule,,src/components/layout/Sidebar.tsx; src/views/admin/AttendanceView.tsx
47,Layout (header / sidebar),Reading assignments,,src/components/layout/Sidebar.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/GradesView.tsx; src/views/student/StudentDashboard.tsx
48,Layout (header / sidebar),Received payments,,src/components/layout/Sidebar.tsx
49,Layout (header / sidebar),Reminders,,src/components/layout/Sidebar.tsx; src/views/admin/TuitionView.tsx
50,Layout (header / sidebar),Review queue,,src/components/layout/Sidebar.tsx; src/views/shared/SubmissionsView.tsx
51,Layout (header / sidebar),Risk monitoring,,src/components/layout/Sidebar.tsx
52,Layout (header / sidebar),Role Preview (Dev),,src/components/layout/Header.tsx
53,Layout (header / sidebar),Rules and weights,,src/components/layout/Sidebar.tsx
54,Layout (header / sidebar),Search - Ctrl/Cmd K,,src/components/layout/Header.tsx
